gem,version,category,description,homepage,context7_id
active_model_serializers,,genai,,,
activerecord,,media,,,
activesupport,,misc,,,
addressable,,misc,,,
adsf,~> 1.5,web,,,
afm,,misc,,,
agent-context,,rag,,,
ahoy_matey,,genai,,,
aia,~> 0.11.1,rag,,,
aigcm,,misc,,,
algorithms,~> 1.0,misc,,,/kanwei/algorithms
amatch,,misc,,,
amazing_print,~> 1.8,misc,,,
ansi_palette,,agentic,,,
appmap,~> 1.1,agentic,,,
asciidoctor,,agentic,,,
asciidoctor-pdf,,agentic,,,
assemblyai,~> 1.2,agentic,,,
async,,rag,,,/socketry/async
async-cable,,rag,,,
async-http,,rag,,,
async-job,,rag,,,
async-job-processor-redis,,rag,,,
async-service,,rag,,,
aubio,~> 0.3.6,nlp,,,
awesome_print,,misc,,,
aws-sdk-s3,,genai,,,
banjo,,media,,,
base64,,misc,,,
bcrypt_pbkdf,,misc,,,
beckett,~> 0.1.0,agentic,,,
benchmark,~> 0.4.1,nlp,,,
better_errors,,genai,,,
bigdecimal,,misc,,,
binding_of_caller,,genai,,,
bm25f,~> 0.1.0,rag,,,
bootsnap,,genai,,,
brakeman,,genai,,,
browser,,genai,,,
bubbles,,misc,,,
bubbletea,,misc,,,/marcoroth/bubbletea-ruby
bubblezone,,rag,,,
builder,,misc,,,
bundler-audit,,genai,,,
caliber,~> 0.67.0,misc,,,
capybara,,misc,,,
charm,,rag,,,
childprocess,,misc,,,
chroma-db,,misc,,,
chronic,~> 0.10.2,agentic,,,
circuit_breaker,~> 1.1,rag,,,
claude_swarm,,devops,,,
cli-ui,,agentic,,,
clipboard,~> 2.0,rag,,,
color,,agentic,,,
colorize,0.8.1,rag,,,
coltrane,,misc,,,
commonmarker,,agentic,,,
concurrent-ruby,,misc,,,
countries,~> 8.1,genai,,,
cssbundling-rails,,genai,,,
csv,~> 3.3,nlp,,,
csvreader,,misc,,,
cucumber-ruby,,rag,,,
curses,~> 1.4,rag,,,
cvless,~> 2.7,web,,,
daemons,,devops,,,
daru,,rag,,,
daru-view,,rag,,,
database_cleaner,,misc,,,
debug,1.8.0,rag,,,
debug_me,,rag,,,
decode,,rag,,,/socketry/decode
deepsearch-rb,,rag,,,
